publisher,count
paul quintaro,228373
lisa levin,186979
benzinga newsdesk,150484
charles gross,96732
monica gerson,82380
eddie staley,57254
hal lindon,49047
etf professor,28489
juan lopez,28438
benzinga staff,28114
vick meyer,24826
webmaster,20313
benzinga_newsdesk,19410
zacks,19390
jayson derrick,19050
allie wickman,18317
shanthi rexaline,16640
craig jones,16221
wayne duggan,12897
nelson hem,12590
dwight einhorn,12226
michael j. zerinskas,10892
joe young,10777
javier hasse,8839
david johnson,8749
matthew kennedy,8167
forex live,7198
laura brodbeck,7069
scott rubin,6553
jake l'ecuyer,5810
roger nachman,5510
luke@benzinga.com,5198
jonathan chen,4795
garrett cook,4646
benzinga insights,4371
benzinga staff 5,4068
optionsxpress,3842
manikandan raman,3837
elizabeth balboa,3804
benzinga news desk,3782
benzingastaffj,3616
jim swanson,3606
jj kinahan,3583
benzinga newsdesk,3580
john seward,3576
freightwaves,3543
matthew kanterman,3218
louis bedigian,2976
brett hershman,2859
daniel hayden iv,2813
benzingastaffl,2745
benjamin lee,2709
r. chandrasekaran,2522
joel elconin,2482
james hunt,2461
emily austin,2245
kevin riley,2158
ceo world,2139
benzingastaff3,2036
inthemoneystocks,2001
benzinga staff writer,1985
antónio costa,1897
gordon wilcox,1891
vishwanath@benzinga.com,1830
alex furno,1780
theo kratz,1709
delores land,1704
tradermark,1659
benzingastaffb,1650
phil marsh,1636
tanzeel akhtar,1512
david bettencourt,1499
bud fox,1496
abe raymond,1464
fred fuld,1456
matthew mccall,1448
taylor cox,1414
luke jacobi,1198
bill stoller,1187
hilary farrell,1122
benzingastafft,1117
benzinga newdesk,1110
the ticker tape,1088
tim parker,1062
brad hammond,1044
dave royse,996
ezra schwarzbaum,984
gary cassady,927
bret.kenwell@benzinga.com,896
chris dier-scalise,889
investor ideas,884
jim probasco,882
neer varshney,872
erika janowicz,855
eric niederer,852
minyanville,831
steven anfield,795
spencer israel,765
sam mattera,760
david fabian,728
invest with an edge,720
franklin price,690
mark meadows,688
ritesh anan,686
benzinga  newsdesk,673
benzingastaff1,663
swing trader,648
iam newswire,630
jon kashat,629
ryan mallory,600
priya nigam,579
viktor puskorius,570
jason shubnell,542
andrew efimoff,541
myplaniq,536
ali berri,516
roger nusbaum,504
brett callwood,495
jake mann,486
luke j jacobi,481
options house,478
amy weingarden,475
mark raymon,452
shivdeep dhaliwal,442
patrick henderson,435
shazir mucklai,433
covestor,431
hannah genig,428
jonathan yates,416
david trainer,410
john harris,408
tipranks,404
mike butler,403
kevin mcelroy,398
tyree gorges,398
anthony sanfilippo,391
matt hogan - finbox.io,391
mark fritz,387
john nyaradi,373
sam liu,371
premarketinfo,341
dave moenning,340
rebecca sheppard,339
ronald weisenstein,335
michael kudrna,329
mark moneymaster,325
scout finance,321
early global news,319
bill haddad,317
dustin blitchok,316
benzinga staff15,314
mark riddix,313
lydia davidson,308
investor's business daily,304
motif investing,296
aaron levitt,295
ian wyatt,291
smallcappower,284
bruce kennedy,282
zack armstrong,278
brandon pilzner,276
sebastian brown,274
anna gerardi,273
marco anthony,267
james hunter,265
charles enser,262
alex biles,261
social market analytics,260
td ameritrade,253
jack grant,252
williambriat,246
spencer white,245
investorideas,244
nick lazich,244
smallcapvoice,240
oakshire financial,238
merrick weingarten,228
jason papallo,228
kurt zuschlag,227
katey stapleton,226
clay wyatt,225
nicholas donato,221
leigh drogen,218
tim melvin,213
jennifer lynn,207
davit kirakosyan,207
john thorpe,207
market rewind,207
tabitha jean naylor,206
garet zatz,205
eric mancini,203
nick smith,200
michael r foster,198
brettstockblog,198
vantagepoint,196
brianna valleskey,196
bryan finnigan,195
benzinga pro newsdesk,191
marco rabinowitz,190
renato capelj,189
kyle dennis,189
charley blaine,189
j.d. singh,185
dhiraj surapaneni,179
ilir shkurti,175
ted friedman,173
lbjacobi,172
hao jin,170
ken shreve,168
spock picks,166
insider monkey,165
rich worthington,164
christian tharp cmt,164
asif suria,163
stephen castellano,162
jose rodrigo safdiye,154
zoheb sait,153
carpediem,153
frank sylvester,151
t3live,148
nic chahine,147
abhi rao,146
luci morland,145
christina jackson,145
chenry4287,144
jeff uscher,141
td ameritrade network,140
alex oleinic,140
thomas smicklas,138
investmentcontrarians,137
mrtopstep,137
patrick williams,136
tuomo kallio,136
capitalcube,132
strichie,132
daniel ho,132
investingdaily,131
zignals,130
etf digest,129
david pinsen,129
ali hakim,127
dylan wittenberg,123
sang lucci,121
alex shek,121
vivek.proactive@gmail.com,120
econmatters,120
armen,119
george vieira,116
ari crane,107
thomas stein,106
rahul kaundal,103
eric terbush,103
tpc,102
general,100
scotts investments,100
nitai leve,99
charles lewis sizemore cfa,97
jay peroni,94
sam subramanian,94
dailyfx,92
victor nguyen,92
chuck carnevale,90
santhosh naikar,90
investorsobserver,90
the gold report,89
coleneum,88
michael matthews,88
matthew bradbard,88
ramon lewis,87
ross cameron - warrior trading,85
inside ipo,84
tom white,83
superman,83
benzingastaffk,82
brent slava,81
kate stalter,81
jeb handwerger,79
pconfidential,79
ophir gottlieb,78
christopher brecher,77
kory guidry,77
llenrock group,77
jane sanders,76
direxion,76
james mecir,75
george mentz,75
ron acoba,72
rebecca finn,71
roger vertes,70
jay wong,70
harry boxer - thetechtrader.com,70
andy swan,68
tim thielen,67
nina zdinjak,67
mary meldrum,67
matt jackson,66
louis winthorp,66
david lipton,65
crystal mills,64
scott loeb,64
george maniere,64
chris poley,64
alex cho,63
steve miller,62
chris versace,61
amit nag,61
eric bosco,59
bob white,59
shane,59
m.e. garza,58
dimarco,58
stockopedia,57
traders huddle,56
nicholas kitonyi,55
the energy report,55
spencer purdy,55
jeff song,55
andrew ward,55
jason raznick1,54
lisa bloom,54
andy pai,54
daniel jennings,52
vlad karpel,51
prudentinvestor,50
traderadar,50
mattmccall,50
lindsey conger,47
jason raznick,46
luis aureliano,45
claire kenney,43
truth is treason,43
craig adeyanju,43
pension pulse,42
bryce matulonis,42
the cannabis investor,42
robert sancrainte,42
theoptionplayer,41
brian sozzi,40
randy elias,40
josh wolonick,40
new frontier data,40
victoria novikova,40
wall street mess,39
the disciplined investor,39
alexis raskin,39
benzinga cannabis,38
king of all trades,38
james mcintosh,37
nicole sherrod,37
george zabel,36
barry bazzell,36
themoneygardener,35
julie waterman,35
ted allrich,35
greg troccoli,35
nick esquer,35
henry khederian,34
zacks small cap research,34
oanda,34
activist stocks,33
kyial robinson,33
cliff wachtel,33
mark morelli,32
learnbonds,31
greg harmon,31
rachel cunningham,31
mark page,31
patrick mortimer,31
christopher dier-scalise,30
tom aspray,30
gary kwapik,30
vitaliy katsenelson,30
james ha,29
kyle bazzy,29
jason wulterkens,29
cooper ziecik,29
option wizard,29
joe mccarty,29
joshua brown,28
jae jun,28
fast graphs,28
arshon afrakhteh,27
the critical metals report,26
tom shaughnessy,26
michael thomsett,25
jenna wang,25
dr. john l faessel,25
sean hannon,25
jeff goldman,25
microcapital,25
econ grapher,25
adam parker,25
thomas bruni,24
abigail field,24
frank holmes,24
bookingalpha,23
the stock advisors,23
moneytips,23
brandon cunningham,23
dave wienke,23
dan moskowitz,23
stock spin offs,23
marketfy insights,23
kristin bentz,23
steve krause,23
ben reynolds - suredividend.com,22
richard smith,22
gobankingrates,22
natan ponieman,22
jim woods investing,22
prudena,22
brantley foster,22
mdmconsult,22
barel karsan,22
news on news,22
devon shire,22
parlorfix,21
junior analyst,21
samantha scheltema,21
taipan daily,20
jaycee tenn,20
jennifer mcdonell,20
terry allen,20
john bougearel,20
dan blystone,20
khyathi dalal,20
above average odds,20
spencer schredder,20
sleibhin,20
edgar roth,19
lightspeed trading,19
phil's stock world,19
avi gilburt,19
william k. black,18
morning brew,18
47ertrends,18
bob lang,18
cathy ryan,18
weiss crypto,18
rakesh sharma,18
behindwallstreet,18
naufal sanaullah,18
charles hugh smith,17
richa28dhand@gmail.com,17
angry bear,17
steve patterson,17
dave dispennette,17
jc parets,17
allyson brooks,17
jsq_njoptions,17
alfidi capital,17
john butcofski,17
parm mann trader,16
stock market leaked research,16
bullbeartrades,16
andrew zatlin,16
zentrader,16
gilverbook,16
investing caffeine,16
aaron jackson.ed,16
timothy monforton,16
marc courtenay,16
dave yelle,15
ofir eyal bar,15
mike lingenheld,15
chemistfrog,15
closingbell,15
kenny polcari,15
dana lyons,15
green technology investments,15
usman rafi,15
stock tipper,15
richard cox,14
ryan dallavia,14
robert wolcott and michael lippitz,14
atbeaty,14
larry baer,14
chris kimble,14
sat waves pro,14
triple pundit,14
ben deng,14
emergingmarkets,14
design taxi,13
inelegant investor,13
fred mason,13
marketscanners,13
david smith,13
young guns trading,13
abnnewswire,13
john p. gavin cfa,13
anthony viola,12
stephen vita,12
cory mitchell,12
rob wilson,12
gene balas,12
joe payne,12
javier hasse and alex oleinic,12
david tumm,12
nasdaq chronicles,12
wilson faber,12
antonrobb,12
tobias van gils - countach research,12
osher deri,11
dividendyield,11
riddock57,11
jack williams,11
the stock trading advisor,11
momentum options trading,11
mary lou,11
frank zorrilla,11
shaun c. yu,11
courtney myers,11
larry doyle,11
david russell - tradestation,11
eidosearch,11
ross drew,11
stockhouse,11
giovani ortiz,11
pritesh patel,11
tom blumer,11
alex shadunsky,11
panxchange,11
raghav ravichander,10
press release,10
rod david,10
sean emory,10
othanas economopoulos,10
loren morrison,10
steve sapletal,10
darrell martin,10
